Temperature [K],Lithium salt concentration [mol/L],EC mass ratio,EC viscosity [cP],EC dielectric constant/10,EC DN/10,DMC/EMC mass ratio,DMC/EMC viscosity [cP],DMC/EMC dielectric constant,DMC/EMC DN/10,EA/EB mass ratio,EA/EB viscosity [cP],EA/EB dielectric constant,EA/EB DN/10
2.9815,1,3,1.93,0.896,1.64,3,0.5805,0.3108,1.72,4,0.426,0.602,1.71
2.9815,1.2,3,1.93,0.896,1.64,3,0.5805,0.3108,1.72,4,0.426,0.602,1.71
2.9815,1.4,3,1.93,0.896,1.64,3,0.5805,0.3108,1.72,4,0.426,0.602,1.71
2.9815,1.6,3,1.93,0.896,1.64,3,0.5805,0.3108,1.72,4,0.426,0.602,1.71
2.9815,1,3,1.93,0.896,1.64,5,0.5805,0.3108,1.72,2,0.426,0.602,1.71
2.9815,1.2,3,1.93,0.896,1.64,5,0.5805,0.3108,1.72,2,0.426,0.602,1.71
2.9815,1.4,3,1.93,0.896,1.64,5,0.5805,0.3108,1.72,2,0.426,0.602,1.71
2.9815,1.6,3,1.93,0.896,1.64,5,0.5805,0.3108,1.72,2,0.426,0.602,1.71
2.9815,1,3,1.93,0.896,1.64,7,0.5805,0.3108,1.72,0,0.5805,0.3108,1.72
2.9815,1.2,3,1.93,0.896,1.64,7,0.5805,0.3108,1.72,0,0.5805,0.3108,1.72
2.9815,1.4,3,1.93,0.896,1.64,7,0.5805,0.3108,1.72,0,0.5805,0.3108,1.72
2.9815,1.6,3,1.93,0.896,1.64,7,0.5805,0.3108,1.72,0,0.5805,0.3108,1.72
2.9815,1,3,1.93,0.896,1.64,3,0.5805,0.3108,1.72,4,0.613,0.51,1.68
2.9815,1.2,3,1.93,0.896,1.64,3,0.5805,0.3108,1.72,4,0.613,0.51,1.68
2.9815,1.4,3,1.93,0.896,1.64,3,0.5805,0.3108,1.72,4,0.613,0.51,1.68
2.9815,1.6,3,1.93,0.896,1.64,3,0.5805,0.3108,1.72,4,0.613,0.51,1.68
2.9815,1,3,1.93,0.896,1.64,5,0.5805,0.3108,1.72,2,0.613,0.51,1.68
2.9815,1.2,3,1.93,0.896,1.64,5,0.5805,0.3108,1.72,2,0.613,0.51,1.68
2.9815,1.4,3,1.93,0.896,1.64,5,0.5805,0.3108,1.72,2,0.613,0.51,1.68
2.9815,1.6,3,1.93,0.896,1.64,5,0.5805,0.3108,1.72,2,0.613,0.51,1.68
2.9815,1,3,1.93,0.896,1.64,3,0.65,0.296,1.68,4,0.426,0.602,1.71
2.9815,1.2,3,1.93,0.896,1.64,3,0.65,0.296,1.68,4,0.426,0.602,1.71
2.9815,1.4,3,1.93,0.896,1.64,3,0.65,0.296,1.68,4,0.426,0.602,1.71
2.9815,1.6,3,1.93,0.896,1.64,3,0.65,0.296,1.68,4,0.426,0.602,1.71
2.9815,1,3,1.93,0.896,1.64,5,0.65,0.296,1.68,2,0.426,0.602,1.71
2.9815,1.2,3,1.93,0.896,1.64,5,0.65,0.296,1.68,2,0.426,0.602,1.71
2.9815,1.4,3,1.93,0.896,1.64,5,0.65,0.296,1.68,2,0.426,0.602,1.71
2.9815,1.6,3,1.93,0.896,1.64,5,0.65,0.296,1.68,2,0.426,0.602,1.71
2.9815,1,3,1.93,0.896,1.64,3,0.65,0.296,1.68,4,0.613,0.51,1.68
2.9815,1.2,3,1.93,0.896,1.64,3,0.65,0.296,1.68,4,0.613,0.51,1.68
2.9815,1.4,3,1.93,0.896,1.64,3,0.65,0.296,1.68,4,0.613,0.51,1.68
2.9815,1.6,3,1.93,0.896,1.64,3,0.65,0.296,1.68,4,0.613,0.51,1.68
2.9815,1,3,1.93,0.896,1.64,5,0.65,0.296,1.68,2,0.613,0.51,1.68
2.9815,1.2,3,1.93,0.896,1.64,5,0.65,0.296,1.68,2,0.613,0.51,1.68
2.9815,1.4,3,1.93,0.896,1.64,5,0.65,0.296,1.68,2,0.613,0.51,1.68
2.9815,1.6,3,1.93,0.896,1.64,5,0.65,0.296,1.68,2,0.613,0.51,1.68
2.9815,1,3,1.93,0.896,1.64,7,0.65,0.296,1.68,0,0.65,0.296,1.68
2.9815,1.2,3,1.93,0.896,1.64,7,0.65,0.296,1.68,0,0.65,0.296,1.68
2.9815,1.4,3,1.93,0.896,1.64,7,0.65,0.296,1.68,0,0.65,0.296,1.68
2.9815,1.6,3,1.93,0.896,1.64,7,0.65,0.296,1.68,0,0.65,0.296,1.68
2.9815,1,3,1.93,0.896,1.64,3,0.5805,0.3108,1.72,4,0.502,0.565,1.71
2.9815,1.2,3,1.93,0.896,1.64,3,0.5805,0.3108,1.72,4,0.502,0.565,1.71
2.9815,1.4,3,1.93,0.896,1.64,3,0.5805,0.3108,1.72,4,0.502,0.565,1.71
2.9815,1.6,3,1.93,0.896,1.64,3,0.5805,0.3108,1.72,4,0.502,0.565,1.71
