De,Sigma_e
4.64640063,3.773175269
4.64640063,3.773175269
4.64640063,3.773175269
4.64640063,3.773175269
4.171629727,3.484407663
4.171629727,3.484407663
4.171629727,3.484407663
4.171629727,3.484407663
6.604897678,3.215161443
6.604897678,3.215161443
6.604897678,3.215161443
6.604897678,3.215161443
3.598223388,2.452005357
3.598223388,2.452005357
3.598223388,2.452005357
3.598223388,2.452005357
3.972030938,2.755130127
3.972030938,2.755130127
3.972030938,2.755130127
3.972030938,2.755130127
3.288743019,3.206968546
3.288743019,3.206968546
3.288743019,3.206968546
3.288743019,3.206968546
2.537330449,2.871848553
2.537330449,2.871848553
2.537330449,2.871848553
2.537330449,2.871848553
3.226623714,2.112076893
3.226623714,2.112076893
3.226623714,2.112076893
3.226623714,2.112076893
3.7346223,2.142625958
3.7346223,2.142625958
3.7346223,2.142625958
3.7346223,2.142625958
4.335804641,2.296436101
4.335804641,2.296436101
4.335804641,2.296436101
4.335804641,2.296436101
3.454262376,3.109433383
3.454262376,3.109433383
3.454262376,3.109433383
3.454262376,3.109433383
