preparation_id,formulation_id,formulation_type,block,order_in_block,status,temperature_C,target_total_mass_g,presence_pattern,NDFA_per_LiDFOB_molar_ratio,estimated_final_volume_mL,estimated_total_lithium_salt_molarity_mol_L,salt_smiles,salt_conc,salt_mass_g,salt_mass_fraction,salt_2_smiles,salt_2_conc,salt_2_mass_g,salt_2_mass_fraction,solvent_ratio_basis,solv_1_name,solv_1_smiles,solv_1_ratio,solv_1_mass_g,solv_1_mass_fraction,solv_2_name,solv_2_smiles,solv_2_ratio,solv_2_mass_g,solv_2_mass_fraction,solv_3_name,solv_3_smiles,solv_3_ratio,solv_3_mass_g,solv_3_mass_fraction,solv_4_name,solv_4_smiles,solv_4_ratio,solv_4_mass_g,solv_4_mass_fraction,solv_5_name,solv_5_smiles,solv_5_ratio,solv_5_mass_g,solv_5_mass_fraction
P001,A015,space_filling,1,1,planned_unverified,25,5,TTE+VC+TMSP,4.980558227,3.725036514,1.298322205,F[B-]1(OC(C(O1)=O)=O)F.[Li+],1.298322205,0.6953,0.13906,[Li+].[O-][N+](=O)[O-],0,0,0,salt_free_liquid_pool_mass_fraction,NDFA,CN(C)C(=O)C(F)(F)F,0.7894859107,3.3985,0.6797,TTE,FC(F)(OCC(F)(F)C(F)F)C(F)F,0.1163379562,0.5008,0.10016,FEC,FC1COC(=O)O1,0,0,0,VC,O=C1OC=CO1,0.04871419611,0.2097,0.04194,TMSP,C[Si](C)(C)OP(O[Si](C)(C)C)O[Si](C)(C)C,0.04546193695,0.1957,0.03914
P002,A014,space_filling,1,2,planned_unverified,25,5,FEC+TMSP,4.179040549,3.653810195,1.243105499,F[B-]1(OC(C(O1)=O)=O)F.[Li+],1.243105499,0.653,0.1306,[Li+].[O-][N+](=O)[O-],0,0,0,salt_free_liquid_pool_mass_fraction,NDFA,CN(C)C(=O)C(F)(F)F,0.6160800552,2.6781,0.53562,TTE,FC(F)(OCC(F)(F)C(F)F)C(F)F,0,0,0,FEC,FC1COC(=O)O1,0.3346215781,1.4546,0.29092,VC,O=C1OC=CO1,0,0,0,TMSP,C[Si](C)(C)OP(O[Si](C)(C)C)O[Si](C)(C)C,0.04929836669,0.2143,0.04286
P003,A012,space_filling,1,3,planned_unverified,25,5,FEC+VC,2.206062462,3.444631913,2.241004297,F[B-]1(OC(C(O1)=O)=O)F.[Li+],2.241004297,1.1098,0.22196,[Li+].[O-][N+](=O)[O-],0,0,0,salt_free_liquid_pool_mass_fraction,NDFA,CN(C)C(=O)C(F)(F)F,0.6176289137,2.4027,0.48054,TTE,FC(F)(OCC(F)(F)C(F)F)C(F)F,0,0,0,FEC,FC1COC(=O)O1,0.3324250681,1.2932,0.25864,VC,O=C1OC=CO1,0.0499460182,0.1943,0.03886,TMSP,C[Si](C)(C)OP(O[Si](C)(C)C)O[Si](C)(C)C,0,0,0
P004,A009,space_filling,1,4,planned_unverified,25,5,TTE+LiNO3+VC,4.811708307,3.492341009,1.421075917,F[B-]1(OC(C(O1)=O)=O)F.[Li+],1.007004036,0.5056,0.10112,[Li+].[O-][N+](=O)[O-],0.4140718805,0.0997,0.01994,salt_free_liquid_pool_mass_fraction,NDFA,CN(C)C(=O)C(F)(F)F,0.5432680274,2.3875,0.4775,TTE,FC(F)(OCC(F)(F)C(F)F)C(F)F,0.4214622159,1.8522,0.37044,FEC,FC1COC(=O)O1,0,0,0,VC,O=C1OC=CO1,0.03526975675,0.155,0.031,TMSP,C[Si](C)(C)OP(O[Si](C)(C)C)O[Si](C)(C)C,0,0,0
P005,A016,space_filling,1,5,planned_unverified,25,5,TTE+FEC+VC,1.197650722,3.280472676,1.469179725,F[B-]1(OC(C(O1)=O)=O)F.[Li+],1.469179725,0.6929,0.13858,[Li+].[O-][N+](=O)[O-],0,0,0,salt_free_liquid_pool_mass_fraction,NDFA,CN(C)C(=O)C(F)(F)F,0.1890831418,0.8144,0.16288,TTE,FC(F)(OCC(F)(F)C(F)F)C(F)F,0.4789533561,2.0629,0.41258,FEC,FC1COC(=O)O1,0.3143182188,1.3538,0.27076,VC,O=C1OC=CO1,0.01764528337,0.076,0.0152,TMSP,C[Si](C)(C)OP(O[Si](C)(C)C)O[Si](C)(C)C,0,0,0
P006,A003,space_filling,1,6,planned_unverified,25,5,LiNO3+VC+TMSP,2.681257744,3.575775233,2.829802569,F[B-]1(OC(C(O1)=O)=O)F.[Li+],2.442428645,1.2556,0.25112,[Li+].[O-][N+](=O)[O-],0.3873739247,0.0955,0.0191,salt_free_liquid_pool_mass_fraction,NDFA,CN(C)C(=O)C(F)(F)F,0.9054509578,3.3039,0.66078,TTE,FC(F)(OCC(F)(F)C(F)F)C(F)F,0,0,0,FEC,FC1COC(=O)O1,0,0,0,VC,O=C1OC=CO1,0.04719230453,0.1722,0.03444,TMSP,C[Si](C)(C)OP(O[Si](C)(C)C)O[Si](C)(C)C,0.04735673765,0.1728,0.03456
P007,A013,space_filling,1,7,planned_unverified,25,5,FEC+LiNO3,4.811236668,3.566199713,1.585622203,F[B-]1(OC(C(O1)=O)=O)F.[Li+],1.191920838,0.6111,0.12222,[Li+].[O-][N+](=O)[O-],0.3937013651,0.0968,0.01936,salt_free_liquid_pool_mass_fraction,NDFA,CN(C)C(=O)C(F)(F)F,0.6722583351,2.8854,0.57708,TTE,FC(F)(OCC(F)(F)C(F)F)C(F)F,0,0,0,FEC,FC1COC(=O)O1,0.3277416649,1.4067,0.28134,VC,O=C1OC=CO1,0,0,0,TMSP,C[Si](C)(C)OP(O[Si](C)(C)C)O[Si](C)(C)C,0,0,0
P008,A007,space_filling,1,8,planned_unverified,25,5,TTE+FEC+TMSP,1.039870459,3.313560943,2.497582207,F[B-]1(OC(C(O1)=O)=O)F.[Li+],2.497582207,1.1898,0.23796,[Li+].[O-][N+](=O)[O-],0,0,0,salt_free_liquid_pool_mass_fraction,NDFA,CN(C)C(=O)C(F)(F)F,0.3186709359,1.2142,0.24284,TTE,FC(F)(OCC(F)(F)C(F)F)C(F)F,0.4011862894,1.5286,0.30572,FEC,FC1COC(=O)O1,0.2350795234,0.8957,0.17914,VC,O=C1OC=CO1,0,0,0,TMSP,C[Si](C)(C)OP(O[Si](C)(C)C)O[Si](C)(C)C,0.04506325127,0.1717,0.03434
P009,A005,space_filling,2,1,planned_unverified,25,5,TTE+FEC+LiNO3,1.937226492,3.306900786,1.441962116,F[B-]1(OC(C(O1)=O)=O)F.[Li+],1.038443211,0.4937,0.09874,[Li+].[O-][N+](=O)[O-],0.4035189047,0.092,0.0184,salt_free_liquid_pool_mass_fraction,NDFA,CN(C)C(=O)C(F)(F)F,0.2126271436,0.9386,0.18772,TTE,FC(F)(OCC(F)(F)C(F)F)C(F)F,0.4718301883,2.0828,0.41656,FEC,FC1COC(=O)O1,0.3155426681,1.3929,0.27858,VC,O=C1OC=CO1,0,0,0,TMSP,C[Si](C)(C)OP(O[Si](C)(C)C)O[Si](C)(C)C,0,0,0
P010,A002,space_filling,2,2,planned_unverified,25,5,TTE+FEC+LiNO3+VC,1.196373456,3.250420795,2.761786383,F[B-]1(OC(C(O1)=O)=O)F.[Li+],2.332960467,1.0902,0.21804,[Li+].[O-][N+](=O)[O-],0.428825916,0.0961,0.01922,salt_free_liquid_pool_mass_fraction,NDFA,CN(C)C(=O)C(F)(F)F,0.3356320634,1.28,0.256,TTE,FC(F)(OCC(F)(F)C(F)F)C(F)F,0.4136402968,1.5775,0.3155,FEC,FC1COC(=O)O1,0.2033720534,0.7756,0.15512,VC,O=C1OC=CO1,0.04735558644,0.1806,0.03612,TMSP,C[Si](C)(C)OP(O[Si](C)(C)C)O[Si](C)(C)C,0,0,0
