NDFA_per_LiDFOB_molar_ratio_target,LiNO3_final_mass_fraction_target,NDFA_solvent_pool_mass_fraction_target,TTE_solvent_pool_mass_fraction_target,FEC_solvent_pool_mass_fraction_target,VC_solvent_pool_mass_fraction_target,TMSP_solvent_pool_mass_fraction_target,LiDFOB_mass_fraction_target,NDFA_mass_fraction_target,TTE_mass_fraction_target,FEC_mass_fraction_target,LiNO3_mass_fraction_target,VC_mass_fraction_target,TMSP_mass_fraction_target,temperature_C,target_total_mass_g,NDFA_per_LiDFOB_molar_ratio,LiNO3_final_mass_fraction,estimated_final_volume_mL,estimated_LiDFOB_molarity_mol_L,estimated_total_lithium_salt_molarity_mol_L,NDFA_solvent_pool_mass_fraction,TTE_solvent_pool_mass_fraction,FEC_solvent_pool_mass_fraction,VC_solvent_pool_mass_fraction,TMSP_solvent_pool_mass_fraction,constraint_total_mass_pass,constraint_minimum_nonzero_mass_pass,constraint_NDFA_LiDFOB_molar_ratio_pass,constraint_LiNO3_final_mass_fraction_pass,constraint_LiDFOB_molarity_pass,constraint_TTE_solvent_pool_fraction_pass,constraint_FEC_solvent_pool_fraction_pass,constraint_VC_solvent_pool_fraction_pass,constraint_TMSP_solvent_pool_fraction_pass,constraint_all_pass,presence_pattern,LiDFOB_mass_g,LiDFOB_mass_fraction,LiDFOB_mole_fraction,NDFA_mass_g,NDFA_mass_fraction,NDFA_mole_fraction,TTE_mass_g,TTE_mass_fraction,TTE_mole_fraction,FEC_mass_g,FEC_mass_fraction,FEC_mole_fraction,LiNO3_mass_g,LiNO3_mass_fraction,LiNO3_mole_fraction,VC_mass_g,VC_mass_fraction,VC_mole_fraction,TMSP_mass_g,TMSP_mass_fraction,TMSP_mole_fraction
4.298625015,0,1,0,0,0,0,0.1916229032,0.8083770968,0,0,0,0,0,25,5,4.298705581,0,3.659791105,1.820938727,1.820938727,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.9581,0.19162,0.1887253377,4.0419,0.80838,0.8112746623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.889182664,0,1,0,0,0,0,0.2076082399,0.7923917601,0,0,0,0,0,25,5,3.889377474,0,3.634067086,1.986759063,1.986759063,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.038,0.2076,0.2045250147,3.962,0.7924,0.7954749853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.016020358,0,1,0,0,0,0,0.2525341274,0.7474658726,0,0,0,0,0,25,5,3.015926528,0,3.561724319,2.465929571,2.465929571,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.2627,0.25254,0.2490085396,3.7373,0.74746,0.7509914604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.671052977,0,1,0,0,0,0,0.1790806549,0.8209193451,0,0,0,0,0,25,5,4.671073786,0,3.679977538,1.692437782,1.692437782,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.8954,0.17908,0.1763334489,4.1046,0.82092,0.8236665511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.780610196,0,1,0,0,0,0,0.1756977263,0.8243022737,0,0,0,0,0,25,5,4.780535144,0,3.685418538,1.658042809,1.658042809,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.8785,0.1757,0.1729943639,4.1215,0.8243,0.8270056361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.406339176,0,1,0,0,0,0,0.2302602623,0.7697397377,0,0,0,0,0,25,5,3.406344217,0,3.597589847,2.225961484,2.225961484,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.1513,0.23026,0.2269455019,3.8487,0.76974,0.7730544981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.561481982,0,1,0,0,0,0,0.2224612079,0.7775387921,0,0,0,0,0,25,5,3.561506852,0,3.610146002,2.143077915,2.143077915,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.1123,0.22246,0.2192258024,3.8877,0.77754,0.7807741976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.126686171,0,1,0,0,0,0,0.1980258566,0.8019741434,0,0,0,0,0,25,5,4.126838358,0,3.649488619,1.887069244,1.887069244,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.9901,0.19802,0.1950519853,4.0099,0.80198,0.8049480147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.014962677,0,1,0,0,0,0,0.2024208547,0.7975791453,0,0,0,0,0,25,5,4.014983932,0,3.64240566,1.932750981,1.932750981,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.0121,0.20242,0.1994024335,3.9879,0.79758,0.8005975665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.671986688,0,1,0,0,0,0,0.217220701,0.782779299,0,0,0,0,0,25,5,3.672001826,0,3.618581162,2.087720162,2.087720162,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.0861,0.21722,0.2140410122,3.9139,0.78278,0.7859589878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
