formulation_id,formulation_type,NDFA_per_LiDFOB_molar_ratio_target,LiNO3_final_mass_fraction_target,NDFA_solvent_pool_mass_fraction_target,TTE_solvent_pool_mass_fraction_target,FEC_solvent_pool_mass_fraction_target,VC_solvent_pool_mass_fraction_target,TMSP_solvent_pool_mass_fraction_target,LiDFOB_mass_fraction_target,NDFA_mass_fraction_target,TTE_mass_fraction_target,FEC_mass_fraction_target,LiNO3_mass_fraction_target,VC_mass_fraction_target,TMSP_mass_fraction_target,temperature_C,target_total_mass_g,NDFA_per_LiDFOB_molar_ratio,LiNO3_final_mass_fraction,estimated_final_volume_mL,estimated_LiDFOB_molarity_mol_L,estimated_total_lithium_salt_molarity_mol_L,NDFA_solvent_pool_mass_fraction,TTE_solvent_pool_mass_fraction,FEC_solvent_pool_mass_fraction,VC_solvent_pool_mass_fraction,TMSP_solvent_pool_mass_fraction,constraint_total_mass_pass,constraint_minimum_nonzero_mass_pass,constraint_NDFA_LiDFOB_molar_ratio_pass,constraint_LiNO3_final_mass_fraction_pass,constraint_LiDFOB_molarity_pass,constraint_TTE_solvent_pool_fraction_pass,constraint_FEC_solvent_pool_fraction_pass,constraint_VC_solvent_pool_fraction_pass,constraint_TMSP_solvent_pool_fraction_pass,constraint_all_pass,presence_pattern,LiDFOB_mass_g,LiDFOB_mass_fraction,LiDFOB_mole_fraction,NDFA_mass_g,NDFA_mass_fraction,NDFA_mole_fraction,TTE_mass_g,TTE_mass_fraction,TTE_mole_fraction,FEC_mass_g,FEC_mass_fraction,FEC_mole_fraction,LiNO3_mass_g,LiNO3_mass_fraction,LiNO3_mole_fraction,VC_mass_g,VC_mass_fraction,VC_mole_fraction,TMSP_mass_g,TMSP_mass_fraction,TMSP_mole_fraction
A001,space_filling,1.421706989,0,0.1797936013,0.3772197631,0.348145879,0.04969451865,0.04514623797,0.1141526505,0.1592696851,0.3341591273,0.3084041042,0,0.04402175763,0.03999267524,25,5,1.421529014,0,3.411702839,1.163733556,1.163733556,0.1797841597,0.3772238779,0.3481441344,0.04969294681,0.04515488124,True,True,True,True,True,True,True,True,True,True,TTE+FEC+VC+TMSP,0.5708,0.11416,0.1148097579,0.7963,0.15926,0.1632054019,1.6708,0.33416,0.2081898304,1.542,0.3084,0.4204550351,0,0,0,0.2201,0.04402,0.07396791951,0.2,0.04,0.01937205509
A002,space_filling,1.196391907,0.01922901008,0.3356231097,0.413625895,0.2033837623,0.04736723294,0,0.2180308585,0.2559932148,0.3154890696,0.1551289576,0.01922901008,0.03612888948,0,25,5,1.196373456,0.01922,3.250420795,2.332960467,2.761786383,0.3356320634,0.4136402968,0.2033720534,0.04735558644,0,True,True,True,True,True,True,True,True,True,True,TTE+FEC+LiNO3+VC,1.0902,0.21804,0.2213464383,1.28,0.256,0.2648130034,1.5775,0.3155,0.1984156557,0.7756,0.15512,0.2134737642,0.0961,0.01922,0.04068611127,0.1806,0.03612,0.06126502719,0,0,0
A003,space_filling,2.681144219,0.01909576496,0.9054415635,0,0,0.04719921062,0.04735922585,0.2511270565,0.6607705896,0,0,0.01909576496,0.03444490676,0.03456168222,25,5,2.681257744,0.0191,3.575775233,2.442428645,2.829802569,0.9054509578,0,0,0.04719230453,0.04735673765,True,True,True,True,True,True,True,True,True,True,LiNO3+VC+TMSP,1.2556,0.25112,0.2418216703,3.3039,0.66078,0.648386226,0,0,0,0,0,0,0.0955,0.0191,0.03835338637,0.1722,0.03444,0.05541222395,0.1728,0.03456,0.01602649346
A004,space_filling,4.007858079,0.01989198573,0.4652421652,0.4765236787,0.01478493791,0,0.04344921815,0.1036695343,0.4077561361,0.4176436887,0.01295808851,0.01989198573,0,0.03808056671,25,5,4.008264691,0.0199,3.517926067,1.024790971,1.435026809,0.465245767,0.4765186436,0.01478709324,0,0.04344849619,True,True,True,True,True,True,True,True,True,True,TTE+FEC+LiNO3+TMSP,0.5183,0.10366,0.1211990674,2.0388,0.40776,0.4857979422,2.0882,0.41764,0.3025034754,0.0648,0.01296,0.02054155999,0.0995,0.0199,0.04851740724,0,0,0,0.1904,0.03808,0.02144054774
A005,space_filling,1.93697495,0.01840935409,0.2126246531,0.4718288602,0.3155464867,0,0,0.09874955135,0.1877137814,0.4165499074,0.2785774057,0.01840935409,0,0,25,5,1.937226492,0.0184,3.306900786,1.038443211,1.441962116,0.2126271436,0.4718301883,0.3155426681,0,0,True,True,True,True,True,True,True,True,True,True,TTE+FEC+LiNO3,0.4937,0.09874,0.1024168523,0.9386,0.18772,0.1984046395,2.0828,0.41656,0.2676677657,1.3929,0.27858,0.3917135388,0.092,0.0184,0.03979720374,0,0,0,0,0,0
A006,space_filling,4.937541239,0.01917632557,0.6706098275,0,0.2532414772,0.04877567426,0.027373021,0.1192394328,0.5777868597,0,0.2181888661,0.01917632557,0.04202435232,0.02358416354,25,5,4.937459134,0.01918,3.636505706,1.140377101,1.522877205,0.6706051673,0,0.2532556466,0.04877086283,0.02736832331,True,True,True,True,True,True,True,True,True,True,FEC+LiNO3+VC+TMSP,0.5962,0.11924,0.1059592443,2.8889,0.57778,0.5231694384,0,0,0,1.091,0.2182,0.2628524191,0.0959,0.01918,0.03554036814,0.2101,0.04202,0.06238805653,0.1179,0.02358,0.01009047355
A007,space_filling,1.039837327,0,0.3186690846,0.4011930069,0.2350652966,0,0.04507261189,0.2379647244,0.2428370838,0.3057232236,0.1791280481,0,0,0.03434692022,25,5,1.039870459,0,3.313560943,2.497582207,2.497582207,0.3186709359,0.4011862894,0.2350795234,0,0.04506325127,True,True,True,True,True,True,True,True,True,True,TTE+FEC+TMSP,1.1898,0.23796,0.2547248377,1.2142,0.24284,0.264880834,1.5286,0.30572,0.2027362425,0.8957,0.17914,0.2599562426,0,0,0,0,0,0,0.1717,0.03434,0.01770184313
A008,space_filling,1.966695845,0.01695482254,0.6192345964,0,0.3429094297,0,0.03785597389,0.238784471,0.4608719782,0,0.2552140144,0.01695482254,0,0.02817471387,25,5,1.966681554,0.01696,3.445241359,2.410399839,2.76740412,0.6192190901,0,0.3429177975,0,0.03786311235,True,True,True,True,True,True,True,True,True,True,FEC+LiNO3+TMSP,1.1939,0.23878,0.2164227643,2.3043,0.46086,0.4256346585,0,0,0,1.2761,0.25522,0.3135884392,0.0848,0.01696,0.03205437212,0,0,0,0.1409,0.02818,0.01229976585
A009,space_filling,4.811740313,0.01993010996,0.5432703248,0.4214555584,0,0.03527411683,0,0.1011208007,0.4775069572,0.3704379792,0,0.01993010996,0.03100415287,0,25,5,4.811708307,0.01994,3.492341009,1.007004036,1.421075917,0.5432680274,0.4214622159,0,0.03526975675,0,True,True,True,True,True,True,True,True,True,True,TTE+LiNO3+VC,0.5056,0.10112,0.1110547408,2.3875,0.4775,0.5343630187,1.8522,0.37044,0.2520334158,0,0,0,0.0997,0.01994,0.04566480739,0.155,0.031,0.0568840173,0,0,0
A010,space_filling,1.638900865,0,0.4551131933,0.4674792448,0,0.04823033246,0.02917722948,0.2205543214,0.3547360118,0.3643746772,0,0,0.03759292421,0.02274206543,25,5,1.638877095,0,3.377363436,2.271222855,2.271222855,0.4551216258,0.4674894796,0,0.04821410243,0.02917479216,True,True,True,True,True,True,True,True,True,True,TTE+VC+TMSP,1.1028,0.22056,0.2502088745,1.7737,0.35474,0.4100615934,1.8219,0.36438,0.2560770723,0,0,0,0,0,0,0.1879,0.03758,0.07122972313,0.1137,0.02274,0.01242273668
