formulation_id,B001,B002,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014
B001,0.00000000,1.41529938,1.16099234,1.42349706,0.59979424,0.77385927,0.95827793,0.99526112,1.05224644,0.98040392,0.74533760,0.71233834,0.97188699,1.21062960,0.57951977,1.23180061
B002,1.41529938,0.00000000,0.86627659,0.65357920,0.98352851,0.98316878,1.18029388,0.77605949,0.53745051,0.72359597,1.15785894,1.03087401,0.76401422,0.79228781,1.03876794,0.57270839
F001,1.16099234,0.86627659,0.00000000,0.54775036,0.92531608,0.79312043,0.75273955,0.56552467,0.64087940,0.74550828,0.53829279,0.63369950,1.04356919,0.54710413,0.97534613,0.82396982
F002,1.42349706,0.65357920,0.54775036,0.00000000,1.02879442,0.99568836,1.15097649,0.52435917,0.68930948,0.98631381,0.88924602,0.99239141,0.96499311,0.58239931,1.22036916,0.73104735
F003,0.59979424,0.98352851,0.92531608,1.02879442,0.00000000,0.55998178,1.02215042,0.55750513,0.62322196,0.74238952,0.68991429,0.66526434,0.48270213,0.90797055,0.49118569,0.83526050
F004,0.77385927,0.98316878,0.79312043,0.99568836,0.55998178,0.00000000,0.61839528,0.61017077,0.77825148,0.59846034,0.57400446,0.69489902,0.58500007,0.60459712,0.53877385,0.57510560
F005,0.95827793,1.18029388,0.75273955,1.15097649,1.02215042,0.61839528,0.00000000,0.97564961,1.01632865,0.69013288,0.65782010,0.70677861,1.11861642,0.75870939,0.79919977,0.90855412
F006,0.99526112,0.77605949,0.56552467,0.52435917,0.55750513,0.61017077,0.97564961,0.00000000,0.53013095,0.78938798,0.56028462,0.71045769,0.60956222,0.54901533,0.83390124,0.62079283
F007,1.05224644,0.53745051,0.64087940,0.68930948,0.62322196,0.77825148,1.01632865,0.53013095,0.00000000,0.50992485,0.82022947,0.60355877,0.68119622,0.80418964,0.69677327,0.71306337
F008,0.98040392,0.72359597,0.74550828,0.98631381,0.74238952,0.59846034,0.69013288,0.78938798,0.50992485,0.00000000,0.83592194,0.56827906,0.75727891,0.80793427,0.48381526,0.66921345
F009,0.74533760,1.15785894,0.53829279,0.88924602,0.68991429,0.57400446,0.65782010,0.56028462,0.82022947,0.83592194,0.00000000,0.51550284,0.95360457,0.68961482,0.77675045,0.92910443
F010,0.71233834,1.03087401,0.63369950,0.99239141,0.66526434,0.69489902,0.70677861,0.71045769,0.60355877,0.56827906,0.51550284,0.00000000,0.94307502,0.92909459,0.51762984,0.97756799
F011,0.97188699,0.76401422,1.04356919,0.96499311,0.48270213,0.58500007,1.11861642,0.60956222,0.68119622,0.75727891,0.95360457,0.94307502,0.00000000,0.82222524,0.69065979,0.53067009
F012,1.21062960,0.79228781,0.54710413,0.58239931,0.90797055,0.60459712,0.75870939,0.54901533,0.80418964,0.80793427,0.68961482,0.92909459,0.82222524,0.00000000,1.01713255,0.47246076
F013,0.57951977,1.03876794,0.97534613,1.22036916,0.49118569,0.53877385,0.79919977,0.83390124,0.69677327,0.48381526,0.77675045,0.51762984,0.69065979,1.01713255,0.00000000,0.88571181
F014,1.23180061,0.57270839,0.82396982,0.73104735,0.83526050,0.57510560,0.90855412,0.62079283,0.71306337,0.66921345,0.92910443,0.97756799,0.53067009,0.47246076,0.88571181,0.00000000
