formulation_id,pca_1,pca_2,total_salt_mass_fraction,formulation_type
B001,0.53465765,0.16688370,0.16930000,BAFF_baseline
B002,-0.43636682,0.21002833,0.18870000,LHCE_baseline
F001,-0.04427945,-0.45963908,0.32860000,space_filling
F002,-0.55324954,-0.33499146,0.35420000,space_filling
F003,0.03718617,0.28054356,0.19088000,space_filling
F004,0.13733628,0.00921388,0.10424000,space_filling
F005,0.48192197,-0.34784445,0.12312000,space_filling
F006,-0.28015906,-0.10972183,0.28432000,space_filling
F007,-0.11938086,0.16549892,0.25140000,space_filling
F008,0.23367531,0.17677952,0.11370000,space_filling
F009,0.19080125,-0.38065921,0.28664000,space_filling
F010,0.37611894,-0.07189957,0.25584000,space_filling
F011,-0.24517892,0.41869044,0.10332000,space_filling
F012,-0.26270962,-0.34350509,0.20498000,space_filling
F013,0.40921046,0.33445470,0.10040000,space_filling
F014,-0.30676900,0.07364149,0.10350000,space_filling
